CODIGO;PAIS;2021-W01;2021-W02;2021-W03;2021-W04;2021-W05;2021-W06;2021-W07;2021-W08;2021-W09;2021-W10;2021-W11;2021-W12;2021-W13;2021-W14;2021-W15;2021-W16;2021-W17;2021-W18;2021-W19;2021-W20;2021-W21;2021-W22;2021-W23;2021-W24;2021-W25;2021-W26;2021-W27;2021-W28;2021-W29;2021-W30;2021-W31;2021-W32;2021-W33;2021-W34;2021-W35;2021-W36;2021-W37;2021-W38;2021-W39;2021-W40;2021-W41;2021-W42;2021-W43;2021-W44;2021-W45;2021-W46;2021-W47;2021-W48;2021-W49;2021-W50;2021-W51;2021-W52
BE;Belgium;2.481;2.408;2.443;2.446;2.283;2.231;2.322;2.147;2.021;2.171;2.108;2.115;2.230;2.219;2.173;2.222;2.211;2.265;2.079;2.030;1.997;1.989;1.881;1.969;1.781;1.928;1.825;1.912;2.003;1.887;1.880;1.896;1.840;1.864;1.959;2.017;1.899;1.890;1.946;2.057;2.226;2.339;2.331;2.285;2.384;2.407;2.492;2.734;2.610;2.542;2.435;2.455
BG;Bulgaria;2.628;2.489;2.525;2.464;2.388;2.371;2.494;2.589;2.755;3.020;3.391;3.686;4.044;3.787;3.738;3.437;3.139;2.801;2.552;2.362;2.184;2.098;2.054;2.030;2.291;2.139;2.099;2.091;1.936;2.104;2.242;2.243;2.085;2.348;2.479;2.658;2.900;2.776;2.842;3.073;3.403;3.841;4.049;4.171;4.092;3.987;3.657;3.491;3.310;3.132;3.100;3.070
CZ;Czechia;3.846;3.751;3.598;3.449;3.274;3.443;3.472;3.631;3.919;4.028;3.835;3.470;3.389;2.947;2.639;2.511;2.475;2.305;2.247;2.052;1.959;2.054;1.967;2.055;2.002;1.887;1.935;2.030;1.959;2.107;1.912;2.032;1.983;1.955;1.999;2.074;2.125;2.098;2.074;2.112;2.217;2.311;2.570;2.691;2.883;3.047;3.235;3.388;3.370;3.132;2.937;2.773
DK;Denmark;1.234;1.213;1.270;1.218;1.206;1.113;1.062;970;974;1.052;968;1.034;973;976;1.029;1.060;1.014;1.120;1.046;1.049;1.032;1.031;1.053;1.000;1.006;1.061;956;1.075;1.051;1.057;1.134;1.085;1.048;1.062;1.052;1.093;1.051;1.051;1.138;1.064;1.161;1.129;1.138;1.141;1.142;1.132;1.209;1.215;1.265;1.260;1.286;1.275
DE;Germany (until 1990 former territory of the FRG);24.849;24.503;24.077;22.645;21.736;20.932;20.469;18.953;18.441;18.609;18.336;18.396;18.495;18.826;19.065;19.250;19.511;19.308;18.592;17.793;17.165;18.164;17.410;19.049;17.187;16.989;16.957;17.627;17.584;17.206;17.001;17.535;17.449;17.165;17.338;18.832;18.012;18.113;18.087;18.175;18.911;19.755;20.259;20.318;20.996;22.255;23.160;24.083;23.893;22.795;22.324;22.001
EE;Estonia;384;396;407;354;354;380;349;407;422;423;425;406;414;398;389;362;316;352;350;319;319;293;303;297;395;314;371;327;277;286;311;311;289;299;329;347;300;352;349;340;358;366;420;424;396;403;423;369;386;379;376;405
IE;Ireland;798;918;985;982;898;845;760;675;630;588;583;597;622;570;589;596;593;632;589;574;612;569;560;516;523;590;519;600;656;569;537;615;596;578;625;647;567;624;689;642;673;682;656;742;704;664;728;703;724;690;748;687
EL;Greece;2.652;2.498;2.652;2.621;2.493;2.463;2.529;2.667;2.724;2.655;2.783;2.759;2.929;2.898;2.969;2.665;2.804;2.937;2.436;2.500;2.585;2.318;2.393;2.314;2.959;3.154;2.702;2.699;2.449;2.825;3.886;2.952;2.669;2.778;2.565;2.519;2.719;2.440;2.439;2.456;2.488;2.514;2.726;2.993;2.852;2.991;3.170;3.174;3.340;3.286;3.300;3.297
ES;Spain;10.479;11.862;12.950;12.703;11.577;10.375;9.489;9.037;8.546;8.325;8.080;8.199;8.200;8.079;7.958;8.094;7.867;8.067;7.744;7.615;7.438;7.355;7.713;7.807;7.286;7.555;7.543;7.564;8.479;8.367;8.642;8.856;8.759;8.219;7.939;7.900;7.512;7.435;7.555;7.529;7.590;7.745;8.182;7.819;8.723;8.786;8.848;9.377;9.012;9.489;9.780;9.827
FR;France;14.976;14.940;15.437;15.037;14.717;14.444;14.423;13.637;13.244;13.111;13.270;13.092;13.516;13.286;13.362;13.515;13.024;12.777;11.796;11.516;11.365;11.140;11.001;11.161;10.155;10.439;10.827;10.627;11.829;11.021;11.041;12.144;11.928;11.577;11.995;12.231;11.326;11.284;11.651;11.724;12.390;12.275;12.556;11.973;12.406;12.553;13.128;13.765;14.277;14.175;14.944;15.022
HR;Croatia;1.342;1.358;1.307;1.244;1.204;1.161;1.121;1.096;1.034;1.080;1.021;1.142;1.231;1.283;1.289;1.318;1.341;1.252;1.255;1.106;1.047;1.143;1.061;1.030;1.116;982;1.002;991;909;1.069;957;1.063;996;963;1.043;1.092;1.111;1.080;1.106;1.099;1.130;1.218;1.325;1.404;1.535;1.563;1.716;1.636;1.568;1.536;1.488;1.478
IT;Italy;16.831;16.921;17.209;16.383;15.657;14.324;14.965;14.443;14.751;15.259;15.559;15.982;15.929;15.219;14.646;14.576;13.761;12.813;12.428;12.188;12.005;11.957;11.874;11.716;12.871;12.419;12.039;11.693;11.999;12.850;12.646;13.752;12.889;12.075;12.021;12.142;12.231;11.633;11.534;11.378;12.515;13.072;12.703;12.743;12.794;12.781;12.751;13.879;14.237;14.972;15.214;14.937
CY;Cyprus;165;125;140;159;152;120;137;125;123;121;135;127;137;150;162;146;142;151;112;92;118;114;111;104;109;134;128;136;142;151;170;163;130;149;137;129;130;117;124;111;127;123;113;97;132;157;133;141;128;155;141;168
LV;Latvia;840;825;795;791;765;709;682;668;603;610;631;586;611;558;596;603;630;609;657;609;572;570;640;526;714;618;589;632;513;552;552;496;553;503;535;605;561;624;654;665;779;925;921;927;895;840;726;682;697;655;669;703
LT;Lithuania;1.200;1.195;1.095;1.089;974;984;933;784;873;898;825;832;771;896;842;870;823;881;866;837;817;832;816;804;917;687;825;883;700;752;722;788;804;789;771;866;916;973;1.014;1.009;1.081;1.087;1.110;1.049;1.032;973;993;964;965;998;1.075;983
LU;Luxembourg;102;94;89;109;93;89;92;87;86;114;116;78;77;89;73;82;93;79;63;85;68;64;80;85;69;87;78;85;67;64;75;75;63;72;84;92;72;69;90;95;67;79;113;102;101;89;100;105;90;89;109;99
HU;Hungary;3.218;3.203;3.041;2.860;2.887;2.881;2.927;3.167;3.274;3.808;4.305;4.569;4.535;4.141;3.532;3.251;2.969;2.723;2.551;2.389;2.334;2.415;2.374;2.365;2.677;2.389;2.362;2.425;2.108;2.508;2.184;2.352;2.205;2.165;2.274;2.404;2.470;2.375;2.423;2.534;2.665;2.670;2.973;3.334;3.530;3.670;4.029;4.154;3.967;3.641;3.462;3.365
MT;Malta;93;84;117;93;88;92;109;107;108;105;94;86;78;66;69;64;59;70;77;75;77;53;57;68;56;92;66;76;63;62;90;92;54;76;69;72;73;50;84;66;54;87;57;71;64;80;79;80;77;88;108;92
NL;Netherlands;4.144;3.852;3.862;3.716;3.654;3.550;3.528;3.207;3.105;3.245;3.043;3.045;3.178;3.164;3.141;3.145;3.125;3.003;3.018;2.989;2.806;3.009;2.884;2.871;2.675;2.793;2.838;2.872;2.776;2.913;2.959;2.840;2.899;2.929;2.860;3.090;2.918;2.889;3.072;3.070;3.062;3.273;3.385;3.515;3.784;3.994;4.190;4.387;4.364;4.036;3.740;3.644
AT;Austria;1.962;1.959;2.009;1.950;1.868;1.759;1.722;1.669;1.590;1.752;1.694;1.660;1.778;1.665;1.698;1.692;1.700;1.660;1.607;1.524;1.492;1.609;1.565;1.605;1.655;1.511;1.471;1.460;1.584;1.535;1.461;1.630;1.624;1.576;1.555;1.632;1.584;1.581;1.676;1.607;1.636;1.727;1.896;1.946;2.063;2.120;2.158;2.209;2.133;1.938;1.854;1.864
PL;Poland;11.478;10.974;11.022;10.397;9.880;9.927;10.117;9.894;10.155;10.835;11.565;12.605;13.833;13.797;12.791;11.996;11.074;10.084;9.678;8.679;8.233;8.157;8.137;8.347;8.359;7.543;7.657;7.883;7.352;7.825;7.392;7.579;7.410;7.404;7.405;8.078;7.830;8.087;8.144;8.478;8.540;8.856;9.490;9.921;10.771;12.040;12.725;13.386;13.785;13.831;13.733;13.541
PT;Portugal;3.830;4.614;5.039;4.811;3.967;3.389;2.860;2.531;2.350;2.137;2.107;2.054;2.128;1.994;1.964;1.913;1.892;2.041;1.906;1.836;1.989;1.878;1.942;1.982;1.849;1.946;1.946;2.051;1.952;1.975;2.055;2.082;2.119;2.080;2.070;1.988;1.913;2.026;1.999;2.121;2.131;2.038;2.174;2.130;2.416;2.462;2.552;2.725;2.615;2.491;2.586;2.529
RO;Romania;6.783;6.524;6.975;6.334;6.281;5.936;5.961;5.958;6.239;6.402;6.851;7.132;7.214;7.180;7.141;6.769;6.485;5.886;5.596;5.291;4.961;4.839;4.864;4.648;5.518;4.810;4.674;4.937;4.628;4.992;4.848;4.502;4.659;4.579;4.673;5.322;5.959;6.342;7.454;9.420;10.797;11.607;11.323;10.768;8.875;7.922;6.921;6.226;5.892;5.704;5.809;5.617
SI;Slovenia;603;624;590;528;526;434;427;470;442;442;441;421;438;405;421;457;382;389;401;407;390;411;386;395;379;379;341;333;327;369;330;351;325;327;394;415;403;420;432;412;453;471;467;545;585;587;542;589;528;500;479;493
SK;Slovakia;2.089;2.125;1.995;1.971;1.987;2.081;2.009;1.963;1.869;1.784;1.677;1.584;1.467;1.333;1.309;1.253;1.166;1.133;1.126;999;962;1.001;1.000;1.048;1.090;968;988;999;896;1.027;953;974;1.011;893;996;1.041;1.142;1.154;1.103;1.214;1.202;1.309;1.450;1.505;1.675;1.854;1.923;1.922;1.897;1.758;1.596;1.492
FI;Finland;1.104;1.130;1.204;1.159;1.103;1.056;1.160;1.133;1.091;1.050;1.090;1.021;1.053;1.056;1.033;1.055;1.009;1.068;1.116;1.009;996;1.013;981;1.009;1.080;1.009;1.092;1.148;1.015;1.028;1.063;1.100;1.081;1.066;1.079;1.148;1.064;1.121;1.134;1.138;1.187;1.200;1.129;1.088;1.161;1.193;1.229;1.231;1.300;1.225;1.236;1.336
SE;Sweden;2.306;2.289;2.243;2.066;1.851;1.859;1.834;1.804;1.656;1.803;1.681;1.714;1.668;1.703;1.657;1.688;1.616;1.675;1.657;1.546;1.510;1.509;1.508;1.467;1.490;1.485;1.533;1.557;1.514;1.588;1.477;1.584;1.540;1.557;1.568;1.604;1.650;1.621;1.664;1.599;1.638;1.679;1.674;1.773;1.716;1.726;1.679;1.761;1.873;1.850;1.881;1.974
IS;Iceland;45;57;48;42;42;46;55;46;46;40;42;37;52;40;54;45;47;53;41;41;35;38;45;52;44;45;43;47;38;56;46;47;44;45;36;43;43;32;35;42;43;31;39;50;58;41;43;43;46;61;48;55
LI;Liechtenstein;9;5;7;4;7;5;6;5;5;2;6;2;5;6;5;8;9;5;6;4;5;4;2;4;1;4;9;5;6;4;3;5;4;6;6;4;4;2;8;2;1;9;3;6;3;6;7;8;5;5;5;8
NO;Norway;830;868;860;851;792;813;768;756;705;790;788;769;719;778;751;752;777;695;705;740;728;725;727;685;696;719;770;716;756;744;767;777;789;784;791;786;820;817;806;804;802;846;893;918;953;916;948;969;1.047;978;968;929
CH;Switzerland;1.906;1.791;1.762;1.610;1.439;1.410;1.299;1.312;1.281;1.287;1.225;1.271;1.244;1.259;1.253;1.252;1.275;1.219;1.259;1.191;1.208;1.217;1.111;1.201;1.191;1.189;1.171;1.184;1.218;1.166;1.168;1.316;1.254;1.240;1.336;1.339;1.344;1.308;1.320;1.248;1.311;1.336;1.375;1.315;1.428;1.510;1.589;1.711;1.789;1.707;1.581;1.633
ME;Montenegro;199;178;194;173;203;205;211;220;220;212;231;184;222;197;186;193;188;154;166;156;110;143;96;136;124;131;137;116;130;147;136;182;167;177;168;176;190;185;184;171;198;166;189;;;;;;;;;
AL;Albania;663;619;697;737;810;887;1.048;993;896;803;700;487;629;600;560;536;526;445;425;400;399;406;384;381;470;460;437;397;342;431;453;474;489;454;470;556;622;;;;;;;;;;;;;;;
RS;Serbia;2.767;2.554;2.327;1.238;2.455;2.313;2.315;1.444;2.546;2.741;2.621;2.452;3.071;3.012;2.802;2.334;2.673;2.258;2.252;1.994;2.011;2.019;2.042;1.866;2.156;1.940;1.868;1.853;1.484;2.002;1.741;1.809;1.730;1.563;2.145;2.351;2.668;2.665;3.238;3.418;3.363;3.115;2.022;3.517;3.230;2.937;2.477;2.784;2.735;2.525;2.367;2.455
AM;Armenia;519;1.276;805;748;701;732;654;560;612;515;615;668;735;724;776;809;815;662;624;577;535;564;518;503;519;;;;;473;442;507;516;536;572;548;582;628;;;;;;;;;;;;;;
